schema_version,forecast_key,rfc,nws_lid,product_type,source_role,view_group,display_name,source_url,enabled,expected_product_label,display_order
1.0.0,CNRFC:SCSC1:WY_FNF,CNRFC,SCSC1,water_year_fnf,fnf_forecast_watershed,major_basin,Tule,https://www.cnrfc.noaa.gov/ensembleProduct.php?id=SCSC1&prodID=9,TRUE,Water Year Trend Plot (non-WSI),10
1.0.0,CNRFC:TMDC1:WY_FNF,CNRFC,TMDC1,water_year_fnf,fnf_forecast_watershed,major_basin,Kaweah,https://www.cnrfc.noaa.gov/ensembleProduct.php?id=TMDC1&prodID=9,TRUE,Water Year Trend Plot (non-WSI),20
1.0.0,CNRFC:SHDC1:WY_FNF,CNRFC,SHDC1,water_year_fnf,fnf_forecast_watershed,major_basin,Sacramento/McCloud/Pit,https://www.cnrfc.noaa.gov/ensembleProduct.php?id=SHDC1&prodID=9,TRUE,Water Year Trend Plot (non-WSI),30
1.0.0,CNRFC:CEGC1:WY_FNF,CNRFC,CEGC1,water_year_fnf,fnf_forecast_watershed,major_basin,Trinity,https://www.cnrfc.noaa.gov/ensembleProduct.php?id=CEGC1&prodID=9,TRUE,Water Year Trend Plot (non-WSI),40
1.0.0,CNRFC:ORDC1:WY_FNF,CNRFC,ORDC1,water_year_fnf,fnf_forecast_watershed,major_basin,Feather,https://www.cnrfc.noaa.gov/ensembleProduct.php?id=ORDC1&prodID=9,TRUE,Water Year Trend Plot (non-WSI),50
1.0.0,CNRFC:HLEC1:WY_FNF,CNRFC,HLEC1,water_year_fnf,fnf_forecast_watershed,major_basin,Yuba,https://www.cnrfc.noaa.gov/ensembleProduct.php?id=HLEC1&prodID=9,TRUE,Water Year Trend Plot (non-WSI),60
1.0.0,CNRFC:FOLC1:WY_FNF,CNRFC,FOLC1,water_year_fnf,fnf_forecast_watershed,major_basin,American,https://www.cnrfc.noaa.gov/ensembleProduct.php?id=FOLC1&prodID=9,TRUE,Water Year Trend Plot (non-WSI),70
1.0.0,CNRFC:NDPC1:WY_FNF,CNRFC,NDPC1,water_year_fnf,fnf_forecast_watershed,major_basin,Tuolumne,https://www.cnrfc.noaa.gov/ensembleProduct.php?id=NDPC1&prodID=9,TRUE,Water Year Trend Plot (non-WSI),80
1.0.0,CNRFC:EXQC1:WY_FNF,CNRFC,EXQC1,water_year_fnf,fnf_forecast_watershed,major_basin,Merced,https://www.cnrfc.noaa.gov/ensembleProduct.php?id=EXQC1&prodID=9,TRUE,Water Year Trend Plot (non-WSI),90
1.0.0,CNRFC:FRAC1:WY_FNF,CNRFC,FRAC1,water_year_fnf,fnf_forecast_watershed,major_basin,San Joaquin,https://www.cnrfc.noaa.gov/ensembleProduct.php?id=FRAC1&prodID=9,TRUE,Water Year Trend Plot (non-WSI),100
1.0.0,CNRFC:PFTC1:WY_FNF,CNRFC,PFTC1,water_year_fnf,fnf_forecast_watershed,major_basin,Kings,https://www.cnrfc.noaa.gov/ensembleProduct.php?id=PFTC1&prodID=9,TRUE,Water Year Trend Plot (non-WSI),110
1.0.0,CNRFC:ISAC1:WY_FNF,CNRFC,ISAC1,water_year_fnf,fnf_forecast_watershed,major_basin,Kern,https://www.cnrfc.noaa.gov/ensembleProduct.php?id=ISAC1&prodID=9,TRUE,Water Year Trend Plot (non-WSI),120
1.0.0,CNRFC:MHBC1:WY_FNF,CNRFC,MHBC1,water_year_fnf,fnf_forecast_watershed,major_basin,Cosumnes,https://www.cnrfc.noaa.gov/ensembleProduct.php?id=MHBC1&prodID=9,TRUE,Water Year Trend Plot (non-WSI),130
