station_uid,station_name,station_type,station_type_label,network_group,provider,source_system,station_id,site_num,site_code,station_triplet,shef_id,state,county,basin,huc,elevation_ft,latitude,longitude,lat_lon,start_date,start_year,end_date,status,site_page_url,data_page_url,source_url
NRCS_scan_2235,Adobe,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2235,2235,2235,2235:CA:SCAN,ADZC1,CA,Mono,,180901010607,6500,37.97787,-118.6863,"37.977870, -118.686300",1695772800000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2235,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2235,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2237,Alabama Hills,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2237,2237,2237,2237:CA:SCAN,ABHC1,CA,Inyo,,180901030207,5240,36.56295,-118.1356,"36.562950, -118.135600",1695859200000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2237,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2237,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2214,Ash Valley,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2214,2214,2214,2214:CA:SCAN,VYAC1,CA,Lassen,,180200021404,5100,41.05204,-120.6872,"41.052040, -120.687200",1414022400000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2214,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2214,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2215,Bodie Hills,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2215,2215,2215,2215:CA:SCAN,HBDC1,CA,Mono,,160503010104,7840,38.26477,-119.1264,"38.264770, -119.126400",1414108800000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2215,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2215,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2240,Chimney Creek,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2240,2240,2240,2240:CA:SCAN,,CA,Tulare,,180300020401,5680,35.83799,-118.0338,"35.837990, -118.033800",1727222400000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2240,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2240,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2189,Cochora Ranch,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2189,2189,2189,2189:CA:SCAN,CXXC1,CA,San Luis Obispo,,180600030102,2670,35.11807,-119.5961,"35.118070, -119.596100",1339027200000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2189,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2189,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2190,Death Valley Jct,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2190,2190,2190,2190:CA:SCAN,DVJC1,CA,Inyo,,180902021504,2080,36.32502,-116.3513,"36.325020, -116.351300",1339113600000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2190,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2190,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2187,Deep Springs,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2187,2187,2187,2187:CA:SCAN,DPSC1,CA,Inyo,,180902010102,5390,37.37222,-117.9738,"37.372220, -117.973800",1321833600000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2187,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2187,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2183,Desert Center,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2183,2183,2183,2183:CA:SCAN,ERTC1,CA,Riverside,,181001004703,550,33.80208,-115.3051,"33.802080, -115.305100",1321401600000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2183,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2183,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2191,Doe Ridge,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2191,2191,2191,2191:CA:SCAN,DOEC1,CA,Mono,,180901020207,7340,37.63423,-118.8264,"37.634230, -118.826400",1339286400000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2191,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2191,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2192,Eagle Lake,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2192,2192,2192,2192:CA:SCAN,EALC1,CA,Lassen,,180800030305,5160,40.6175,-120.7247,"40.617500, -120.724700",1339459200000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2192,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2192,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2185,Essex,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2185,2185,2185,2185:CA:SCAN,EXCC1,CA,San Bernardino,,181001003308,2650,34.67235,-115.1669,"34.672350, -115.166900",1321660800000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2185,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2185,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2184,Ford Dry Lake,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2184,2184,2184,2184:CA:SCAN,RDLC1,CA,Riverside,,181001005405,380,33.6547,-115.0976,"33.654700, -115.097600",1321448400000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2184,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2184,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2218,French Gulch,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2218,2218,2218,2218:CA:SCAN,FGLC1,CA,Shasta,,180201540102,3760,40.79361,-122.5508,"40.793610, -122.550800",1.413936e+12,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2218,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2218,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
