station_uid,live_provider_key,provider,source_system,station_type,station_type_label,provider_station_id,station_name,state,county,river_basin,huc,elevation_ft,latitude,longitude,lat_lon,record_start_date,record_start_year,record_end_date,record_end_year,period_of_record,station_status,nrcs_site_num,nrcs_station_triplet,nrcs_shef_id,cdec_id,operator_agency,owner_agency,official_station_url,official_data_url,source_metadata_url
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,ADM,ADIN MOUNTAIN,CA,,,,6200,41.237,-120.792,"41.237000, -120.792000",1984-01-01,1984,,,1984–present,active,,,,ADM,Natural Resources Conservation Service,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=ADM,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=ADM,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_AGP,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,AGP,AGNEW PASS,CA,,,,9450,37.726631,-119.141731,"37.726631, -119.141731",1989-11-24,1989,,,1989–present,active,,,,AGP,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=AGP,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=AGP,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_ALP,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,ALP,ALPHA (SMUD),CA,,,,7600,38.804192,-120.215652,"38.804192, -120.215652",1970-01-01,1970,,,1970–present,active,,,,ALP,.None Specified,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=ALP,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=ALP,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_BCH,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,BCH,BEACH MEADOWS,CA,,,,7650,36.126095,-118.293457,"36.126095, -118.293457",1982-10-30,1982,,,1982–present,active,,,,BCH,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BCH,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=BCH,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_BFL,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,BFL,BIG FLAT,CA,,,,5100,41.077599,-122.94223,"41.077599, -122.942230",1983-11-16,1983,,,1983–present,active,,,,BFL,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BFL,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=BFL,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_BIM,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,BIM,BIG MEADOWS (DWR),CA,,,,7600,36.715225,-118.843773,"36.715225, -118.843773",1980-02-04,1980,,,1980–present,active,,,,BIM,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BIM,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=BIM,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_BMW,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,BMW,BIG MEADOWS (SCS),CA,,,,8700,39.458,-119.946,"39.458000, -119.946000",1985-10-01,1985,,,1985–present,active,,,,BMW,Natural Resources Conservation Service,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BMW,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=BMW,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_BGP,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,BGP,BIG PINE CREEK,CA,,,,9800,37.127815,-118.476967,"37.127815, -118.476967",1988-12-01,1988,,,1988–present,active,,,,BGP,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BGP,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=BGP,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_BSH,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,BSH,BISHOP PASS,CA,,,,11200,37.1,-118.557,"37.100000, -118.557000",1989-03-23,1989,,,1989–present,active,,,,BSH,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BSH,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=BSH,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_BLS,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,BLS,BLACK SPRINGS,CA,,,,6500,38.375881,-120.195,"38.375881, -120.195000",1977-11-21,1977,,,1977–present,active,,,,BLS,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BLS,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=BLS,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_BCB,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,BCB,BLACKCAP BASIN,CA,,,,10300,37.066685,-118.77301,"37.066685, -118.773010",1989-11-25,1989,,,1989–present,active,,,,BCB,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BCB,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=BCB,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_BLA,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,BLA,BLACKS MOUNTAIN,CA,,,,7050,40.76984,-121.199783,"40.769840, -121.199783",1987-11-02,1987,,,1987–present,active,,,,BLA,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BLA,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=BLA,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_BLD,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,BLD,BLOODS CREEK,CA,,,,7200,38.451256,-120.034882,"38.451256, -120.034882",1977-12-20,1977,,,1977–present,active,,,,BLD,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BLD,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=BLD,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_BLC,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,BLC,BLUE CANYON,CA,,,,5280,39.280098,-120.708694,"39.280098, -120.708694",1970-01-24,1970,,,1970–present,active,,,,BLC,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BLC,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=BLC,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_BLK,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,BLK,BLUE LAKES,CA,,,,8000,38.613,-119.931,"38.613000, -119.931000",1980-10-01,1980,,,1980–present,active,,,,BLK,Natural Resources Conservation Service,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BLK,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=BLK,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_BNK,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,BNK,BONANZA KING,CA,,,,6450,41.083118,-122.631271,"41.083118, -122.631271",1982-09-18,1982,,,1982–present,active,,,,BNK,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BNK,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=BNK,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_BKL,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,BKL,BUCKS LAKE,CA,,,,5873,39.85292,-121.25135,"39.852920, -121.251350",1970-01-01,1970,,,1970–present,active,,,,BKL,.None Specified,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BKL,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=BKL,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_BSK,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,BSK,BURNSIDE LAKE,CA,,,,8129,38.7194,-119.8942,"38.719400, -119.894200",2005-01-26,2005,,,2005–present,active,,,,BSK,Natural Resources Conservation Service,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=BSK,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=BSK,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_CAP,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,CAP,CAPLES LAKE,CA,,,,8000,38.710793,-120.04158,"38.710793, -120.041580",1970-01-01,1970,,,1970–present,active,,,,CAP,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CAP,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=CAP,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_CXS,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,CXS,CARSON PASS,CA,,,,8353,38.6924,-120.0021,"38.692400, -120.002100",2005-01-26,2005,,,2005–present,active,,,,CXS,Natural Resources Conservation Service,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CXS,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=CXS,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_CSV,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,CSV,CASA VIEJA MEADOWS,CA,,,,8300,36.198097,-118.267685,"36.198097, -118.267685",1985-01-01,1985,,,1985–present,active,,,,CSV,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CSV,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=CSV,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_CDP,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,CDP,CEDAR PASS,CA,,,,7100,41.583,-120.303,"41.583000, -120.303000",1980-11-23,1980,,,1980–present,active,,,,CDP,Natural Resources Conservation Service,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CDP,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=CDP,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_CSL,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,CSL,CENT SIERRA SNOW LAB,CA,,,,6900,39.325,-120.367,"39.325000, -120.367000",1983-10-01,1983,,,1983–present,active,,,,CSL,Natural Resources Conservation Service,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CSL,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=CSL,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_CHP,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,CHP,CHAGOOPA PLATEAU,CA,,,,10300,36.497143,-118.446716,"36.497143, -118.446716",1984-01-01,1984,,,1984–present,active,,,,CHP,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CHP,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=CHP,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_CRL,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,CRL,CHARLOTTE LAKE,CA,,,,10400,36.777523,-118.42601,"36.777523, -118.426010",1984-11-03,1984,,,1984–present,active,,,,CRL,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CRL,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=CRL,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_CHM,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,CHM,CHILKOOT MEADOW,CA,,,,7150,37.40839,-119.492188,"37.408390, -119.492188",1985-10-21,1985,,,1985–present,active,,,,CHM,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CHM,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=CHM,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_CWD,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,CWD,COTTONWOOD LAKES,CA,,,,10150,36.48383,-118.177559,"36.483830, -118.177559",1973-11-04,1973,,,1973–present,active,,,,CWD,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CWD,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=CWD,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_CBT,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,CBT,CRABTREE MEADOW,CA,,,,10700,36.563683,-118.347946,"36.563683, -118.347946",1982-10-30,1982,,,1982–present,active,,,,CBT,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CBT,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=CBT,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_CWF,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,CWF,CROWDER FLAT,CA,,,,5100,41.8934,-120.7519,"41.893400, -120.751900",2005-01-26,2005,,,2005–present,active,,,,CWF,Natural Resources Conservation Service,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CWF,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=CWF,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
