station_uid,live_provider_key,provider,provider_station_id,station_name,water_year,water_month,month_label,month_start_water_day,n_daily_obs,monthly_min_daily_obs,monthly_mean_ok,swe_month_mean_in,swe_month_max_in,monthly_ref_ok,monthly_ref_n_years,min_years_for_monthly_context,monthly_ref_start_date,monthly_ref_end_date,monthly_ref_start_wy,monthly_ref_end_wy,monthly_ref_label,monthly_ref_wy_label,monthly_ref_p30_swe_in,monthly_ref_p50_swe_in,monthly_ref_p70_swe_in
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2017,1,Oct,1,15,10,TRUE,0.026666666666666665,0.3,TRUE,23,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.03965217391304348,0.1,0.24230414746543777
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2017,2,Nov,32,20,10,TRUE,0.585,2.2,TRUE,29,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.5954444444444444,0.7233333333333334,1.304126984126984
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2017,3,Dec,62,30,10,TRUE,3.2533333333333334,4.3,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,2.6083870967741936,3.2250537634408603,4.1940769230769215
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2017,4,Jan,93,29,10,TRUE,10.13103448275862,13.3,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,4.932315789473685,6.518817204301075,8.05290322580645
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2017,5,Feb,124,25,10,TRUE,16.048,20.3,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,7.6373376623376625,9.610714285714286,13.000714285714286
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2017,6,Mar,152,31,10,TRUE,20.341935483870966,22.9,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,8.364082313681868,11.868010752688171,14.711333333333332
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2017,7,Apr,183,29,10,TRUE,15.513793103448275,19.3,TRUE,33,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,3.6979310344827585,6.910526315789474,12.338697318007663
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2017,8,May,213,7,10,FALSE,,9.4,TRUE,24,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.15535714285714286,0.6393540669856459,2.68368817204301
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2018,1,Oct,1,6,10,FALSE,,0.2,TRUE,23,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.03965217391304348,0.1,0.24230414746543777
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2018,2,Nov,32,26,10,TRUE,0.8461538461538461,2.5,TRUE,29,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.5954444444444444,0.7233333333333334,1.304126984126984
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2018,3,Dec,62,31,10,TRUE,0.7419354838709677,1.3,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,2.6083870967741936,3.2250537634408603,4.1940769230769215
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2018,4,Jan,93,31,10,TRUE,1.3580645161290323,2.9,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,4.932315789473685,6.518817204301075,8.05290322580645
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2018,5,Feb,124,28,10,TRUE,2.2785714285714285,3.3,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,7.6373376623376625,9.610714285714286,13.000714285714286
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2018,6,Mar,152,31,10,TRUE,5.732258064516129,7.3,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,8.364082313681868,11.868010752688171,14.711333333333332
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2018,7,Apr,183,23,10,TRUE,1.6782608695652175,6,TRUE,33,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,3.6979310344827585,6.910526315789474,12.338697318007663
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2018,8,May,213,1,10,FALSE,,0.7,TRUE,24,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.15535714285714286,0.6393540669856459,2.68368817204301
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2018,9,Jun,244,11,10,TRUE,0.045454545454545456,0.3,TRUE,18,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.0673076923076923,0.1367391304347826,0.18165154264972777
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2018,10,Jul,274,2,10,FALSE,,0,TRUE,12,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.09655172413793103,0.15492610837438425,0.2531111111111111
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2019,2,Nov,32,1,10,FALSE,,1.9,TRUE,29,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.5954444444444444,0.7233333333333334,1.304126984126984
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2019,3,Dec,62,31,10,TRUE,3.196774193548387,5.1,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,2.6083870967741936,3.2250537634408603,4.1940769230769215
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2019,4,Jan,93,30,10,TRUE,7.846666666666667,10.9,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,4.932315789473685,6.518817204301075,8.05290322580645
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2019,5,Feb,124,28,10,TRUE,15.310714285714287,19.1,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,7.6373376623376625,9.610714285714286,13.000714285714286
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2019,6,Mar,152,31,10,TRUE,21.47741935483871,22.7,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,8.364082313681868,11.868010752688171,14.711333333333332
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2019,7,Apr,183,30,10,TRUE,13.983333333333334,21.4,TRUE,33,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,3.6979310344827585,6.910526315789474,12.338697318007663
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2019,8,May,213,10,10,TRUE,0.07,0.5,TRUE,24,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.15535714285714286,0.6393540669856459,2.68368817204301
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2019,12,Sep,336,3,10,FALSE,,0,TRUE,14,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.024605263157894738,0.05459770114942529,0.25577777777777777
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2020,1,Oct,1,29,10,TRUE,0.006896551724137932,0.1,TRUE,23,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.03965217391304348,0.1,0.24230414746543777
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2020,2,Nov,32,28,10,TRUE,0.039285714285714285,0.3,TRUE,29,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.5954444444444444,0.7233333333333334,1.304126984126984
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2020,3,Dec,62,31,10,TRUE,2.4741935483870967,4,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,2.6083870967741936,3.2250537634408603,4.1940769230769215
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2020,4,Jan,93,29,10,TRUE,5.910344827586207,8.5,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,4.932315789473685,6.518817204301075,8.05290322580645
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2020,5,Feb,124,29,10,TRUE,8.486206896551725,9.5,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,7.6373376623376625,9.610714285714286,13.000714285714286
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2020,6,Mar,152,30,10,TRUE,6.836666666666667,9,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,8.364082313681868,11.868010752688171,14.711333333333332
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2020,7,Apr,183,23,10,TRUE,4.904347826086957,8.3,TRUE,33,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,3.6979310344827585,6.910526315789474,12.338697318007663
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2020,8,May,213,1,10,FALSE,,0,TRUE,24,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.15535714285714286,0.6393540669856459,2.68368817204301
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2021,1,Oct,1,20,10,TRUE,0.035,0.1,TRUE,23,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.03965217391304348,0.1,0.24230414746543777
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2021,2,Nov,32,27,10,TRUE,1.0814814814814815,2.2,TRUE,29,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.5954444444444444,0.7233333333333334,1.304126984126984
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2021,3,Dec,62,29,10,TRUE,3.0551724137931036,5,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,2.6083870967741936,3.2250537634408603,4.1940769230769215
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2021,4,Jan,93,31,10,TRUE,6.358064516129033,7.4,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,4.932315789473685,6.518817204301075,8.05290322580645
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2021,5,Feb,124,28,10,TRUE,10.053571428571429,12.4,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,7.6373376623376625,9.610714285714286,13.000714285714286
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2021,6,Mar,152,31,10,TRUE,13.229032258064516,14.4,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,8.364082313681868,11.868010752688171,14.711333333333332
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2021,7,Apr,183,18,10,TRUE,5.266666666666667,11.1,TRUE,33,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,3.6979310344827585,6.910526315789474,12.338697318007663
